,Return,Std Dev,Symbol(Name)
MTB,8.94,29.84,MTB (M&T 뱅크)
PAYC.K,39.73,46.45,PAYC.K (페이콤 소프트웨어)
PNR,14.43,28.49,PNR (펜테어)
CHRW.O,7.35,25.36,CHRW.O (CH 로빈슨 월드와이드)
PNW,8.28,21.03,PNW (피너클 웨스트 캐피털)
JNPR.K,9.42,29.09,JNPR.K (주니퍼 네트웍스)
SJM,7.03,21.25,SJM (J.M.스머커)
PFG.O,13.65,31.7,PFG.O (프린시펄 파이낸셜 그룹)
ACGL.O,22.19,23.8,ACGL.O (아치 캐피털 그룹)
BBWI.K,-12.42,47.52,BBWI.K (배스 앤 바디 웍스)
ROL,23.9,29.24,ROL (롤린스)
TROW.O,10.28,28.49,TROW.O (티 로웨 프라이스 그룹)
WAT,16.4,26.85,WAT (워터스)
OMC,10.64,24.96,OMC (옴니콤 그룹)
GPC,12.12,24.26,GPC (제뉴인 파츠)
LNT.O,11.06,19.87,LNT.O (얼라이언트 에너지)
ALLE.K,13.26,26.02,ALLE.K (얼리지언)
JBL,22.78,35.96,JBL (자빌)
AIZ,15.68,25.55,AIZ (어슈런트)
TXT,18.12,33.51,TXT (텍스트론)
IVZ,5.79,36.23,IVZ (인베스코)
EMN,13.96,29.93,EMN (이스트만 케미컬)
JKHY.O,17.29,21.88,JKHY.O (잭 헨리 & 어소시에이츠)
TRMB.O,15.8,34.06,TRMB.O (트림블)
BEN,3.04,30.51,BEN (프랭클린 리소시스)
IEX,17.42,23.25,IEX (아이덱스)
DAY,20.55,45.32,DAY (데이포스)
CAG,6.29,23.17,CAG (콘아그라 브랜즈)
FMC,11.53,30.99,FMC (FMC)
FRT,6.7,26.41,FRT (페더럴 리얼티 인베스트먼트 트러스트)
RVTY.K,17.97,27.58,RVTY.K (레비티)
BRO,20.72,21.81,BRO (브라운 & 브라운)
MKTX.O,28.27,33.02,MKTX.O (마켓액세스 홀딩스)
TECH.O,10.09,33.9,TECH.O (바이오-테크네)
DOC,1.45,27.66,DOC (헬스피크 프로퍼티스)
FFIV.O,13.05,33.57,FFIV.O (F5)
AVY,17.59,26.77,AVY (에이버리 데니슨)
BIO,13.91,27.92,BIO (바이오래드 래보라토리스 Class A)
TDY,22.19,26.56,TDY (텔레다인 테크놀로지스)
BFb,10.29,22.74,BFb (브라운-포맨 Class B)
REG.O,9.32,28.11,REG.O (리젠시 센터스)
CTLT.K,21.19,40.48,CTLT.K (캐털란트)
CPT,10.79,23.46,CPT (캠든 프로퍼티 트러스트)
FDS,16.75,24.68,FDS (팩트셋 리서치 시스템즈)
GEN.O,15.22,31.19,GEN.O (젠 디지털)
COO.O,15.08,33.19,COO.O (쿠퍼 컴퍼니스)
AOS,21.34,27.18,AOS (A O 스미스)
ARE,7.22,24.69,ARE (알렉산드리아 리얼에스테이트 이쿼티)
